Date,Ticker,Currency,Open,High,Low,Close,Adj Close,Volume,Change,%Change,MarketCap
2024-07-07,MATIC-USD,USD,0.51,0.51,0.48,0.48,0.48,175385143,-0.03,-5.88,0
2024-07-07,NEAR-USD,USD,4.82,4.83,4.38,4.40,4.40,199257206,-0.42,-8.71,2972301568
2024-07-07,SOL-USD,USD,143.19,143.19,131.77,131.77,131.77,1842515124,-11.42,-7.98,110541570048
2024-07-07,TRX-USD,USD,0.13,0.13,0.12,0.12,0.12,327743354,-0.01,-7.69,28247525376
2024-07-07,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,10,0.00,,17388
2024-07-07,XRP-USD,USD,0.45,0.45,0.42,0.42,0.42,758268409,-0.03,-6.67,157739499520
2024-07-08,ADA-USD,USD,0.35,0.38,0.33,0.37,0.37,506143395,0.02,5.71,23967385600
2024-07-08,ATOM-USD,USD,5.79,6.22,5.61,5.83,5.83,182248071,0.04,0.69,1506169472
2024-07-08,AVAX-USD,USD,25.72,27.16,24.67,25.22,25.22,457966073,-0.50,-1.94,8681321472
2024-07-08,BNB-USD,USD,490.71,523.16,472.16,510.61,510.61,-1989957400,19.90,4.06,156638248960
2024-07-08,BTC-USD,USD,55849.57,58131.34,54321.02,56705.10,56705.10,1111454235,855.53,1.53,2272121585664
2024-07-08,DOGE-USD,USD,0.10,0.11,0.10,0.11,0.11,1023119021,0.01,10.00,30334775296
2024-07-08,DOT-USD,USD,5.91,6.28,5.73,5.94,5.94,257760504,0.03,0.51,5121885696
2024-07-08,ETH-USD,USD,2929.86,3090.66,2826.48,3018.73,3018.73,1152540977,88.87,3.03,496596582400
2024-07-08,ICP-USD,USD,6.92,7.36,6.67,6.82,6.82,97739649,-0.10,-1.45,1706506624
2024-07-08,LINK-USD,USD,12.35,13.51,11.83,13.11,13.11,475712040,0.76,6.15,12714944512
2024-07-08,LTC-USD,USD,62.06,66.13,59.44,64.87,64.87,397070221,2.81,4.53,7622200832
2024-07-08,MATIC-USD,USD,0.48,0.51,0.46,0.50,0.50,303449233,0.02,4.17,0
2024-07-08,NEAR-USD,USD,4.40,4.74,4.20,4.47,4.47,343310465,0.07,1.59,2972301568
2024-07-08,SOL-USD,USD,131.80,141.63,128.56,139.46,139.46,-602562721,7.66,5.81,110541570048
2024-07-08,TRX-USD,USD,0.12,0.13,0.12,0.13,0.13,426126472,0.01,8.33,28247525376
2024-07-08,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,10,0.00,,17388
2024-07-08,XRP-USD,USD,0.42,0.44,0.40,0.43,0.43,1537507458,0.01,2.38,157739499520
